,text,summary
50,"Как рассказали “МК” в СКП по Московской области, вечером в Рождество 56-летней медсестре больницы на мобильный телефон позвонил неизвестный и сообщил, что ее сын, студент колледжа Метростроя, похищен. Киднеппер потребовал в качестве выкупа 2 млн. рублей. Злодеи назначили сделку на 14.00 8 января. Преступники потребовали, чтобы медсестра передала им деньги через тайник, оборудованный в мусорном контейнере у автобусной остановки на Дмитровском шоссе. Местные милиционеры и сыщики из областного ГУВД установили наблюдение за помойкой. В назначенный час женщина приехала к остановке с частью выкупа и опустила пакет в мусорный контейнер. После этого ей позвонили преступники и потребовали вернуться на такси домой, пообещав отпустить ее отпрыска восвояси. Вскоре к урне подъехала легковушка, и из салона вышел молодой человек. Он несколько секунд рылся в мусоре и извлек на свет божий пакет с деньгами. В ту же секунду сыщики задержали парня — студента 2-го курса Московской академии ветеринарии и микробиологии. — Вскоре было установлено место, где насильно удерживали юношу, — заброшенный дом в поселке Дружба-2, — пояснил начальник Управления информации и общественных связей ГУВД по Московской области Евгений Гильдеев. — Парня освободили, а на следующий день был пойман второй соучастник преступления — 19-летний неработающий москвич. Паренек давно дружил с вероломными юношами и делился с ними самым сокровенным. Незадолго до похищения паренек рассказал отморозкам, что его мать собирается продать земельный участок. Вскоре между парнем и его товарищами произошла ссора, и бывшие друзья попытались реализовать информацию в корыстных целях. В заброшенном доме вымогатели пристегнули узника к отопительной батарее и постоянно избивали его в ожидании выкупа.","рублей. Незадолго до похищения паренек рассказал отморозкам, что его мать собирается продать земельный участок. В назначенный час женщина приехала к остановке с частью выкупа и опустила пакет в мусорный контейнер. "
51,"Как стало известно “МК”, головокружительный полет совершил житель Чечерского проезда по имени Серафим. В тот день подросток с двумя своими приятелями (им 14 и 16 лет) спускался на пассажирском лифте с девятого этажа в подъезде №3. К слову, ни один из них в этой многоэтажке не проживает. По некоторым данным, в чужой подъезд товарищи зашли погреться. Между седьмым и шестым этажами лифт внезапно остановился. Как определили специалисты “Мослифта”, во время его движения на панели управления подъемным устройством была нажата кнопка “стоп”. Пока неизвестно, намеренно ли тинейджеры затормозили лифт. Возможно, подростки случайно задели кнопку. Серафим принялся раздвигать руками створки дверей кабины, намереваясь покинуть лифт. Судя по диктофонной записи из кабины, друзья ему крикнули: “Куда ты лезешь?” На что Серафим ответил, что очень спешит, а затем шагнул вниз, в шахту. Тинейджера с многочисленными переломами доставили в 31-ю горбольницу, сейчас он находится в отделении реанимации в тяжелом состоянии.","Судя по диктофонной записи из кабины, друзья ему крикнули: “Куда ты лезешь?” На что Серафим ответил, что очень спешит, а затем шагнул вниз, в шахту. Тинейджера с многочисленными переломами доставили в 31-ю горбольницу, сейчас он находится в отделении реанимации в тяжелом состоянии. По некоторым данным, в чужой подъезд товарищи зашли погреться. "
52,"А под Новый год подросшего малыша приняла обратно настоящая родительница. Теперь она будет воспитывать его самостоятельно. Крошечная девочка родилась в семье борнейских орангутанов в начале июня. Двух детенышей, рождавшихся ранее, самка отказывалась кормить, и их воспитывали зоологи. Так получилось и в этот раз, став мамой, обезьяна перестала обращать на дочку внимание. Роль приемных родителей взяли на себя специалисты зоосада. Малышка оказалась здоровой и спокойной. Чтобы она не ощущала недостатка в тепле и ласке, люди не спускали ее с рук ни днем ни ночью. Крошка даже спала на своих опекунах или в крайнем случае в кровати, но держась за человека. Но общения только с двуногими маленькому примату недостаточно — ведь в будущем он должен уметь ладить в первую очередь с собратьями. Поэтому ежедневно малышке показывали других орангов — она их видела, слышала и привыкала к запаху. Кроме того, малютку демонстрировали матери, чтобы оба привыкали друг другу. Зоологи удовлетворяли любое желание детеныша — кормили, только когда он сам этого хотел, и не снимали ее с себя против ее воли. Как удалось узнать “МК”, недавно девочку решили соединить с мамой. Самка с радостью приняла подросшую дочь в семью! Теперь и маму, и дочку можно увидеть в вольере павильона “Приматы”.","Малышка оказалась здоровой и спокойной. Но общения только с двуногими маленькому примату недостаточно — ведь в будущем он должен уметь ладить в первую очередь с собратьями. Зоологи удовлетворяли любое желание детеныша — кормили, только когда он сам этого хотел, и не снимали ее с себя против ее воли. "
53,"В сентябре Приволжский суд города Казани назначил условное наказание Мухамедшиной Любови Владимировне — два года и десять дней — за то, что она, “действуя с прямым умыслом, направленным на незаконное использование объектов авторского права”, организовала незаконное производство контрафактных дисков. Дело возбудили в октябре 2007 года. Местные убэповцы не предпринимали в отношении Мухамедшиной никаких действий. Пришлось ею заниматься ДЭБ МВД. Оперативная группа из Москвы обнаружила на заводе Мухамедшиной 610 712 контрафактных дисков, 1788 матриц для их производства и документы об отправке изготовленных дисков заказчикам — в разные регионы России, Украины и Беларуси. Изъятый контрафакт стоил в общей сложности 42,5 миллиона рублей. Если бы Мухамедшину не остановили, она бы на эту сумму нагрела правообладателей. Но и без 42,5 миллиона Мухамедшина не осталась внакладе. Ведь те диски, которые ее предприятие прежде отправляло в регионы, тоже были контрафактными. Это нельзя доказать в суде, потому что их уже не выловить из моря подделок, лежащих на прилавках. Но всем понятно, что доходы, полученные от их продажи, — незаконные. Тем не менее суд счел нецелесообразным “применение дополнительного наказания в виде штрафа с учетом материального положения подсудимой”. Несмотря на то что у Мухамедшиной нашлись средства на открытие завода, суд решил: она так бедна, что не сможет заплатить даже символический штраф. Можно представить, какое возмущение вызвал такой приговор у московских оперативников, проделавших колоссальную работу, чтоб вывести Мухамедшину на чистую воду. Им пришлось устанавливать подлинность 610 712 контрафактных дисков, отдавать их на экспертизу, искать правообладателей, составлять протоколы. Бригада специалистов потратила на дело Мухамедшиной пару лет, но, как теперь выясняется, совершенно впустую. Справедливость не восторжествовала, казна не пополнилась, правообладатели остались обманутыми. Преступление раскрыли. Вину доказали. А результат — ноль. Стоило трудиться? Мухамедшина подделывала диски “Компании Вокс Видео”, а Николай Куделко подделывал кофе CAFE PELE. На его предприятии в Подмосковье под видом растворимого кофе в жестяные банки расфасовывался кофейный напиток “Барановичский”, приобретенный в Республике Беларусь. По заключению экспертов, изъятая продукция была низкого качества и не соответствовала санитарно-эпидемиологическим правилам и нормативам. В результате незаконной предпринимательской деятельности правообладателю товарного знака CAFE PELE — бразильской компании Cacique de Cafе Soluvel причинен ущерб на сумму более 6 млн. 600 тыс. рублей. Суд приговорил Николая Куделко к 6 годам лишения свободы в исправительной колонии общего режима и к штрафу в размере 100 тыс. рублей в доход государства.",А результат — ноль. рублей в доход государства. Вину доказали. 
54,"Как известно, Елена давно пристально следит за собственной внешностью. Однако последний поход в спортзал закончился для нее проблемами со здоровьем. Теперь Елену лечат в Центральной клинической больнице. — Ничего страшного не произошло. Никакой ишемической болезни сердца, как поспешили сообщить некоторые СМИ, у нее нет, — призналась “МК” пиар-директор Баскова Марина Наумова. — Произошло обычное защемление мышц — проще говоря, межреберная невралгия. Елена сама приехала в больницу, обратилась за помощью. В тренажерном зале была слишком большая нагрузка — она не рассчитала силы. Вот и все. Сейчас ей делают массаж. Коля уже звонил маме. Елена успокоила сына: мол, отдыхай дальше, не бери себе в голову, со мной все в порядке.","Коля уже звонил маме. Сейчас ей делают массаж. Как известно, Елена давно пристально следит за собственной внешностью. "
55,"“МК” поздравил актера по телефону. — Спасибо! Вы первые, кто меня поздравил, — воодушевленно рассказал Сергей Селин. — Я сам об этом узнал буквально 55 минут назад. Мне позвонили, когда я был за рулем. Так я первое время даже машину не мог вести — так разволновался. Первым делом позвонил сыну Прохору. Обрадовал, что у него теперь есть сестричка. Она хоть и от другой мамы, но это не имеет значения. — Как мама и ребенок себя чувствуют? — С Аней и дочерью все хорошо, сейчас как раз к ним еду. Хотя им, конечно, пару дней придется полежать в больнице. А мне уже не терпится поскорее забрать их домой. — Я слышал, вы готовились к рождению дочери заранее, накупили много подарков… — Да! И коляску, и кроватку, и игрушки — много всего. Мне пытались говорить: что ты делаешь, это же плохая примета! Но приметы эти придумали не мы и не сейчас, так что я особого внимания на них не обращал. И вообще, я так горд своей Анечкой! Знаете, так, по-мужски. Наша с ней дочка — это очень желанный, долгожданный ребенок. Одно дело, когда ты становишься отцом молодым парнем, когда ты и сам еще по большому счету ребенок. И совсем другое — в моем возрасте. Это совсем другие эмоции. — Как назовете дочь? — Машей. И не потому, что так зовут мою маму. Просто это очень хорошее имя. Я действительно уверен, что Иванами да Марьями в нашей стране мы всегда будем гордиться. А я, в свою очередь, сделаю все, чтобы Машенька выросла настоящей принцессой!",— Машей. — Я сам об этом узнал буквально 55 минут назад. А мне уже не терпится поскорее забрать их домой. 
56,"Ледовое побоище, устроенное в субботу в Чехове в матче регулярного чемпионата Континентальной хоккейной лиги местным “Витязем” и гостями из Омска, еще долго будет обсуждаться болельщиками, экспертами и самими хоккеистами. Несмотря на то что сама лига отреагировала на случившееся оперативно, уже на следующий день присудив техническое поражение со счетом 0:5 и чеховцам, и “Авангарду” (про остальные санкции — чуть ниже в справке “МК”)... Одни настаивают, что хоккей — все ж не балет и помахать кулаками тоже надо уметь. Ну увлеклись парни. С кем не бывает? В конце концов, в хоккей играют настоящие мужчины... Другие, напротив, цитируют не менее избитую фразу: мол, такой хоккей нам не нужен. Любите боксерские поединки — так есть уже такой вид спорта. И на коньки не обязательно для этого вставать, и клюшку уметь держать в руках не надо. А за такие выкрутасы надо наказывать гораздо строже, чем это сделала КХЛ! Много споров и о том, откуда взялись цифры в 1 и 4 миллиона рублей, выписанные соперникам. Почему клуб должен платить немалые суммы за выходки игроков, а не сам хоккеист? За что оштрафовали тренеров? И как определить степень вины участников? “МК” попросил наших постоянных экспертов высказать свою точку зрения на произошедшее в Чехове. Их позиции тоже совпали далеко не по всем пунктам. Андрей НАЗАРОВ, главный тренер ХК “Трактор”: “Лучшим выходом стала бы переигровка” — Как бывший игрок, сам не раз бывавший в подобных заварушках на льду, я хоккеистов понять могу. Это эмоции. Но как тренер убежден, что подобного быть не должно. И нести ответственность за произошедшее должны именно игроки, а не клуб. Выписали миллионные штрафы, но платить-то их будут не зачинщики, а руководство! В НХЛ такие эпизоды разбирать умеют. По видео несложно определить, кто затеял драку. После этого обвиняемые предстают аж перед тремя комиссиями, проходит эдакий мини-суд, где они объясняют и причины случившегося, и свое видение ситуации. А затем, исходя из этих объяснений и адекватности поведения хоккеистов, комиссия выносит вердикт. Но клуб никто не наказывает. А то, что тренерам “Витязя” и “Авангарда” выписали штрафы по 50 тысяч рублей, и вовсе смех. За что? Все же в хоккей надо играть, а не кулачные бои устраивать. Выбитые челюсти и массовые побоища — это, несомненно, весело. Но спортивный принцип страдать не должен. Считаю, что лучшим выходом стала бы переигровка. Нужно выявить зачинщика, и если им был хоккеист “Витязя”, то клуб из Чехова обязать оплатить соперникам и перелет, и проживание в гостинице... Владимир МАСЛАЧЕНКО, телекомментатор: “Драться парни не умеют!” — Ситуацию излишне драматизируют. Складывается такое впечатление, что произошла трагедия национального масштаба. Но такие моменты, как побороться, потолкаться, помериться силой, изначально заложены в саму философию хоккея. Если хотите, это такой бой без правил. Да, есть у нас такая команда, как “Витязь”. Тренеры и руководство клуба строят команду, какую и хотят видеть. С учетом этого ведется и трансферная политика. Когда не хватает класса и мастерства, в дело обычно вступает сила. Но физическая мощь традиционно уступает технике. 7 часов длилось заседание дисциплинарного комитета, но принятое решение — это 5 минут переговоров руководителей высшего звена. Не больше. Решение принято наспех и никого не напугало. Просто дали указ наказать по максимуму, и все. Причем разобраться без стакана, почему оба клуба получили одинаковое спортивное наказание в виде технического поражения 0:5, а в финансовом плане штрафные санкции разнятся, — невозможно. Я согласен с Ягром, который в данной истории в первую очередь отметил несовершенство регламента, в котором элементарно не прописаны подобные нюансы. Кто и за что должен получить дисквалификацию — непонятно. Давайте относиться к произошедшему с юмором. Драться парни не умеют — толкотня одна, лежачих колотят. А вот судьи явно недоработали. Понятно, что, когда спорят двое мужчин, третьему там делать нечего, но если хоккеист падает, то спор надо прекращать. А арбитры увлеклись раздачей штрафных минут настолько, что даже не заметили, как игроков для продолжения матча на льду просто не осталось. Тоже предлагаю переиграть матч. А если нет, то обязательно вернуть зрителям деньги за билеты. А после сесть, подумать и прописать все спорные моменты в регламенте. Александр ПОКАЧУЕВ.","Их позиции тоже совпали далеко не по всем пунктам. Если хотите, это такой бой без правил. Кто и за что должен получить дисквалификацию — непонятно. "
57,"Как рассказал “МК” руководитель Следственного управления СКП РФ по Москве Анатолий Багмет, несколько месяцев назад семье 7-летней москвички пришлось сменить район проживания в столице. В связи с этим возникли проблемы по переводу ребенка в местную школу. На личном приеме директор 1213-й школы Александр Попков дал понять матери и отчиму девочки, что поступление возможно за материальное вознаграждение в размере 30 тысяч рублей (хотя по закону это бесплатная плановая процедура). Возмущенный глава семейства обратился в милицию. Как только в руках у директора оказались меченые купюры, он был задержан сыщиками. Кстати, Попков руководит альма-матер почти 20 лет, является заслуженным учителем России и отличником народного образования. По словам коллег, его учебное заведение — одно из лучших в округе. Однако не все родители в восторге от педагогического коллектива школы — на форумах в Интернете есть несколько нелестных отзывов, учителей обвиняют в занижении оценок воспитанникам.","На личном приеме директор 1213-й школы Александр Попков дал понять матери и отчиму девочки, что поступление возможно за материальное вознаграждение в размере 30 тысяч рублей (хотя по закону это бесплатная плановая процедура). В связи с этим возникли проблемы по переводу ребенка в местную школу. Как только в руках у директора оказались меченые купюры, он был задержан сыщиками. "
58,"Как удалось выяснить “МК”, инцидент произошел 4 января. 7-летний Матвей с отцом и 6-летним кузеном Ильей возвращались с прогулки домой к дому 8 по Заповедной улице. Когда мальчишки начали переходить дорогу, на трассе появился “Фольксваген Тouаrеg”, двигавшийся на большой скорости. Водитель не справился с управлением и не сумел предотвратить наезд. Мальчиков отбросило в сугроб. А виновник ДТП скрылся с места аварии. Однако отец Матвея запомнил реквизиты машины. Прибывшие гаишники установили, что автомобиль, сбивший детей, оформлен на 48-летнюю Светлану Гринченко, супругу 42-летнего начальника ОВД “Ростокино”. Первоначально милиционеры предположили, что совершить наезд мог супруг владелицы авто (отец пострадавших видел за рулем мужчину), и офицер на время был отстранен от службы. Как пояснили “МК” в управлении информации и общественных связей ГУВД Москвы, супруга шерифа по доверенности одолжила транспортное средство другу семьи, некому Юрию Афиногентову. Вскоре было доказано, что именно этот человек совершил наезд на мальчиков. К счастью, ребятишки получили легкие ушибы. Друг семьи начальника ОВД понесет административную ответственность за наезд на пешеходов и побег с места происшествия.","7-летний Матвей с отцом и 6-летним кузеном Ильей возвращались с прогулки домой к дому 8 по Заповедной улице. Когда мальчишки начали переходить дорогу, на трассе появился “Фольксваген Тouаrеg”, двигавшийся на большой скорости. Прибывшие гаишники установили, что автомобиль, сбивший детей, оформлен на 48-летнюю Светлану Гринченко, супругу 42-летнего начальника ОВД “Ростокино”. "
59,"Как стало известно “МК”, жертвой мошенника в погонах стал сотрудник одного из секретных военных НИИ в чине капитана. Глава семейства, воспитывающий двух дочек, уже несколько лет стоял в очереди на получение жилья. Он был несказанно счастлив, когда майор из жилищной комиссии сообщил ему, что тот вскоре получит долгожданную двухкомнатную квартиру в подмосковном городе Ивантеевке. Впрочем, за окончательное решение квартирного вопроса Разинкин потребовал с очередника 100 тысяч рублей. Капитан заплатил мздоимцу половину требуемых денег и только потом сообразил, что ему не следовало давать взятку, поскольку он стоял первым в очереди на жилье и получил бы квартиру в любом случае. Опомнившись, незадачливый вояка бросился за помощью к оперативникам из столичного УБЭП. Проходимца решено было брать с поличным, и сыщики вместе с операми из ФСБ устроили засаду у дверей служебного кабинета майора Разинкина на Фрунзенской набережной. Едва взяточник получил из рук капитана десять пятитысячных купюр и переложил деньги в папку со служебными документами, как в кабинет ворвались опера и повязали майора. Выяснилось, что Разинкин как секретарь жилищной комиссии не имел права самостоятельно решать вопрос о предоставлении жилья кому бы то ни было. Поэтому против майора было возбуждено уголовное дело не по факту злоупотребления служебным положением, а по факту мошенничества.","Проходимца решено было брать с поличным, и сыщики вместе с операми из ФСБ устроили засаду у дверей служебного кабинета майора Разинкина на Фрунзенской набережной. Впрочем, за окончательное решение квартирного вопроса Разинкин потребовал с очередника 100 тысяч рублей. Выяснилось, что Разинкин как секретарь жилищной комиссии не имел права самостоятельно решать вопрос о предоставлении жилья кому бы то ни было. "
